Date,Name of State / UT,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases
2020-03-09,Karnataka,1,0,0,0
2020-03-10,Karnataka,4,0,0,3
2020-03-11,Karnataka,4,0,0,0
2020-03-12,Andhra Pradesh,1,0,0,0
2020-03-12,Karnataka,4,1,0,0
2020-03-13,Andhra Pradesh,1,0,0,0
2020-03-13,Karnataka,5,1,0,1
2020-03-14,Andhra Pradesh,1,0,0,0
2020-03-14,Karnataka,6,1,0,1
2020-03-15,Andhra Pradesh,1,0,0,0
2020-03-15,Karnataka,6,1,0,0
2020-03-16,Andhra Pradesh,1,0,0,0
2020-03-16,Karnataka,6,1,0,0
2020-03-17,Andhra Pradesh,1,0,0,0
2020-03-17,Karnataka,11,1,0,5
2020-03-18,Andhra Pradesh,1,0,0,0
2020-03-18,Karnataka,11,1,0,0
2020-03-18,West Bengal,1,0,0,0
2020-03-19,Andhra Pradesh,2,0,0,1
2020-03-19,Karnataka,14,1,0,3
2020-03-19,West Bengal,1,0,0,0
2020-03-20,Andhra Pradesh,2,0,0,0
2020-03-20,Karnataka,15,1,0,1
2020-03-20,West Bengal,1,0,0,0
2020-03-21,Andhra Pradesh,3,0,0,1
2020-03-21,Karnataka,15,1,1,0
2020-03-21,West Bengal,3,0,0,2
2020-03-22,Andhra Pradesh,5,0,0,2
2020-03-22,Karnataka,26,1,2,11
2020-03-22,West Bengal,4,0,0,1
2020-03-23,Andhra Pradesh,7,0,0,2
2020-03-23,Karnataka,33,1,2,7
2020-03-23,West Bengal,7,1,0,3
2020-03-24,Andhra Pradesh,8,0,0,1
2020-03-24,Karnataka,37,1,3,4
2020-03-24,West Bengal,9,1,0,2
2020-03-25,Andhra Pradesh,9,0,1,1
2020-03-25,Karnataka,41,1,3,4
2020-03-25,West Bengal,9,1,0,0
2020-03-26,Andhra Pradesh,11,0,1,2
2020-03-26,Karnataka,55,2,3,14
2020-03-26,West Bengal,10,1,0,1
2020-03-27,Andhra Pradesh,12,0,1,1
2020-03-27,Karnataka,55,2,3,0
2020-03-27,West Bengal,10,1,0,0
2020-03-28,Andhra Pradesh,14,0,1,2
2020-03-28,Karnataka,55,2,3,0
2020-03-28,West Bengal,15,1,0,5
2020-03-29,Andhra Pradesh,14,0,1,0
2020-03-29,Karnataka,76,3,5,21
2020-03-29,West Bengal,18,1,0,3
2020-03-30,Andhra Pradesh,19,0,1,5
2020-03-30,Karnataka,80,3,5,4
2020-03-30,West Bengal,19,1,0,1
2020-03-31,Andhra Pradesh,40,0,1,21
2020-03-31,Karnataka,83,3,5,3
2020-03-31,West Bengal,26,2,0,7
2020-04-01,Andhra Pradesh,83,0,0,43
2020-04-01,Karnataka,101,3,8,18
2020-04-02,Andhra Pradesh,86,1,1,3
2020-04-02,Karnataka,110,3,9,9
2020-04-03,Andhra Pradesh,132,1,1,46
2020-04-03,Karnataka,124,3,10,14
2020-04-03,West Bengal,53,3,3,27
2020-04-04,Andhra Pradesh,161,1,1,29
2020-04-04,Karnataka,128,3,12,4
2020-04-04,West Bengal,69,3,3,16
2020-04-05,Andhra Pradesh,161,1,1,0
2020-04-05,Karnataka,144,4,12,16
2020-04-05,West Bengal,69,3,10,0
2020-04-06,Andhra Pradesh,226,3,1,65
2020-04-06,Karnataka,151,4,12,7
2020-04-06,West Bengal,80,3,10,11
2020-04-07,Andhra Pradesh,266,3,1,40
2020-04-07,Karnataka,151,4,12,0
2020-04-07,West Bengal,91,3,13,11
2020-04-08,Andhra Pradesh,305,4,1,39
2020-04-08,Karnataka,175,4,25,24
2020-04-08,West Bengal,99,5,13,8
2020-04-09,Andhra Pradesh,348,4,6,43
2020-04-09,Karnataka,181,5,28,6
2020-04-09,West Bengal,103,5,16,4
2020-04-10,Andhra Pradesh,348,4,6,0
2020-04-10,Karnataka,181,5,28,0
2020-04-10,West Bengal,116,5,16,13
2020-04-11,Andhra Pradesh,363,6,7,15
2020-04-11,Karnataka,207,6,31,26
2020-04-11,West Bengal,116,5,16,0
2020-04-12,Andhra Pradesh,381,6,11,18
2020-04-12,Karnataka,214,6,37,7
2020-04-12,West Bengal,134,5,19,18
2020-04-13,Andhra Pradesh,427,7,11,46
2020-04-13,Karnataka,232,6,57,18
2020-04-13,West Bengal,152,7,29,18
2020-04-14,Andhra Pradesh,473,9,14,46
2020-04-14,Karnataka,258,9,65,26
2020-04-14,West Bengal,190,7,36,38
